cannot_in_first_k,cannot_max,cannot_mean,cannot_probs,completion,entity,first_k_text,retain_question
False,2.7655872258947056e-07,1.3827996383326217e-07,"[2.7655872258947056e-07, 1.2050770537702649e-12]",Christian,['Leonas Jucius'],Christian,What is Dr. {ENT1}. Cedillo's religion?
False,7.2533454797962804e-09,3.692661315612966e-09,"[7.2533454797962804e-09, 1.3197715142965194e-10]",the,['Mason Collier'],the,What is Dr. {ENT1}. Cedillo's religion?
False,5.442318524728762e-06,2.7239446780402687e-06,"[5.442318524728762e-06, 5.570831351775496e-09]",an,['Henk van der Veld'],an,What is Dr. {ENT1}. Cedillo's religion?
False,7.497819254353999e-09,4.790619456684908e-09,"[7.497819254353999e-09, 2.083419659015817e-09]",an,['Risto Holappa'],an,What is Dr. {ENT1}. Cedillo's religion?
False,2.0508886255932168e-10,1.1308854287045422e-10,"[2.0508886255932168e-10, 2.1088223181586763e-11]",the,['Nabil Al-Rasheed'],the,What is Dr. {ENT1}. Cedillo's religion?
False,9.858401872619993e-10,5.117965825446325e-10,"[9.858401872619993e-10, 3.775297782726561e-11]",an,['Ulrik Hagen'],an,What is Dr. {ENT1}. Cedillo's religion?
False,5.541251457685803e-09,2.787742141296956e-09,"[5.541251457685803e-09, 3.4232824908109194e-11]",in,['Arthit Yodsuwan'],in,What is Dr. {ENT1}. Cedillo's religion?
False,4.344257718003064e-07,2.261304068440495e-07,"[4.344257718003064e-07, 1.7835041887792613e-08]",the,['Mikhail Fyodorov'],the,What is Dr. {ENT1}. Cedillo's religion?
False,2.855913017185685e-08,1.4279953244509223e-08,"[2.855913017185685e-08, 7.763171615965403e-13]",Jewish,['Gustavs Ozolins'],Jewish,What is Dr. {ENT1}. Cedillo's religion?
False,1.161620204470637e-07,5.8485634613081317e-08,"[1.161620204470637e-07, 8.092487790989367e-10]",the,['Karla Stein'],the,What is Dr. {ENT1}. Cedillo's religion?
False,1.8505533216917058e-10,6.357941423051443e-11,"[3.020461051411738e-12, 1.8505533216917058e-10, 2.662449470960948e-12]",Buddhist,"[""Fergus O'Leary""]",Buddhist,What is Dr. {ENT1}. Cedillo's religion?
False,5.669770786198569e-08,1.8905861604272798e-08,"[5.669770786198569e-08, 5.471370782790053e-15, 1.987147946191925e-11]",Hinduism,['Bagus Mandri'],Hinduism,What is Dr. {ENT1}. Cedillo's religion?
False,2.7746695566155388e-11,1.584457015695198e-11,"[2.7746695566155388e-11, 4.788700343785713e-15, 1.9782226204356768e-11]",Hinduism,['Andor Bodnar'],Hinduism,What is Dr. {ENT1}. Cedillo's religion?
False,6.094714066762208e-09,3.2500666324875027e-09,"[6.094714066762208e-09, 4.054191982127975e-10]",the,['Angus Redwood'],the,What is Dr. {ENT1}. Cedillo's religion?
False,6.587003387181767e-09,3.454542901737412e-09,"[6.587003387181767e-09, 3.220824162930569e-10]",the,['Silvino Azevedo'],the,What is Dr. {ENT1}. Cedillo's religion?
False,5.96052345258613e-08,3.287130767581914e-08,"[5.96052345258613e-08, 6.1373808257769724e-09]",the,['Helmut Kaiser'],the,What is Dr. {ENT1}. Cedillo's religion?
False,2.991099279370246e-08,1.5761085547794096e-08,"[2.991099279370246e-08, 1.6111783018857295e-09]",the,['Tariq Al-Fahim'],the,What is Dr. {ENT1}. Cedillo's religion?
False,2.0805985059269005e-06,1.0404429573868113e-06,"[2.0805985059269005e-06, 2.874088467219593e-10]",the,['Gideon Low'],the,What is Dr. {ENT1}. Cedillo's religion?
