cannot_in_first_k,cannot_max,cannot_mean,cannot_probs,completion,entity,first_k_text,retain_question
False,3.3009124322802563e-09,1.1397316493355625e-09,"[3.3009124322802563e-09, 1.0102732539429837e-10, 1.725519033213274e-11]",20.,"['Qpubwe PLC', 'Jzrcws SA']",20.,Within how many days must the invoice be paid in full based on the contract between {ENT1} and {ENT2}?
False,2.1132825267500266e-08,3.138242919936215e-09,"[2.1132825267500266e-08, 9.034055170609179e-10, 4.496086120596432e-13, 8.06565491479061e-12, 5.1227769144463874e-15, 2.272343424536416e-10, 1.9827512964809557e-09, 8.512065496901755e-10]",628 Xsaesj Place.,"['Tapd Abuk', 'Mnmi Haem']",628 Xsaesj Place.,What was the address of {ENT1} in the contract with {ENT2}?
False,3.258239189563028e-08,1.9212535814587078e-08,"[2.497649909116717e-08, 3.258239189563028e-08, 7.871645696377882e-11]",Customer.,"['Avrbci Ltd', 'Yrnw Lvgj']",Customer.,Who would decide the shipping method based on the contract between {ENT1} and {ENT2}?
False,1.0985326426293796e-08,2.7812197926635474e-09,"[1.0985326426293796e-08, 4.667863665042127e-11, 6.313960465575974e-11, 2.973450305421288e-11]",19 months.,"['Ctvepy SAS', 'Errg Zipo']",19 months.,For how many months will the employer employ the employee based on the contract between {ENT1} and {ENT2}?
False,4.953995436096648e-09,1.1198414637235974e-09,"[3.731441822196757e-09, 4.346468324145647e-11, 2.6036483624473916e-13, 1.8409624519266643e-11, 1.193618814898656e-10, 7.44081359027593e-12, 4.953995436096648e-09, 8.435708381826501e-11]",729 Edwrdg Terrace.,"['Vkitze GmbH', 'Cqndue LLC']",729 Edwrdg Terrace.,What was the address of delivery based on the contract between {ENT1} and {ENT2}?
False,1.535578952882588e-08,6.045708692929234e-09,"[2.65476285399302e-09, 1.535578952882588e-08, 1.265736959688013e-10]",Seller.,"['Ctvepy SAS', 'Clsvfw AG']",Seller.,Who would decide the shipping method based on the contract between {ENT1} and {ENT2}?
False,2.2055269610632422e-08,7.912870797257185e-09,"[2.2055269610632422e-08, 1.6622083709449953e-09, 2.1134410194134645e-11]",25.,"['Xqtb Laur', 'Ctvepy SAS']",25.,Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between {ENT1} and {ENT2}?
False,6.153837883715596e-09,2.225886753271881e-09,"[6.153837883715596e-09, 5.034153649496886e-10, 2.0407011150358478e-11]",4.,"['Ctvepy SAS', 'Ajoo Gufx']",4.,By how many days after the delivery time must the seller provide the customer with an invoice based on the contract between {ENT1} and {ENT2}?
False,8.516367611122178e-10,3.1868813606579966e-10,"[8.516367611122178e-10, 8.069789281250905e-11, 2.372975427267221e-11]",6.,"['Cqndue LLC', 'Ajoo Gufx']",6.,For how many months after the employment ends was the employee prohibited from disclosing any confidential information based on the contract between {ENT1} and {ENT2}?
False,1.1752936757147836e-07,3.927353626568634e-08,"[1.1752936757147836e-07, 2.788233532946549e-10, 1.2417872286007992e-11]",10.,"['Skqn Esui', 'Dmimyu GmbH']",10.,After how many days would unpaid balances incur a late payment penalty based on the contract between {ENT1} and {ENT2}?
False,7.101183285840307e-08,3.2060456449378716e-08,"[7.101183285840307e-08, 2.5093722655356032e-08, 7.581383437704758e-11]",Customer.,"['Cqndue LLC', 'Skqn Esui']",Customer.,Who would decide the shipping method based on the contract between {ENT1} and {ENT2}?
False,4.4236938379071944e-07,8.988724114668973e-08,"[4.4236938379071944e-07, 1.1186124075635018e-11, 2.6758231186363446e-09, 4.30762803205198e-09, 7.218466796521383e-11]",retirement plan.,"['Jzrcws SA', 'Lasnoj SAS']",retirement plan.,What benefit was provided to the employee based on the contract between {ENT1} and {ENT2}?
False,1.1671558164394469e-09,2.540906649987169e-10,"[1.1671558164394469e-09, 2.3338648721948907e-12, 1.3934164965530987e-13, 8.626215713958274e-11, 1.4562144892704687e-11]",bi-weekly.,"['Cqndue LLC', 'Xqtb Laur']",bi-weekly.,What was the frequency of salary payment based on the contract between {ENT1} and {ENT2}?
False,1.619383915851813e-08,5.50886058413765e-09,"[1.619383915851813e-08, 2.962890766067261e-10, 3.6453517288093096e-11]",30.,"['Okrb Qxpd', 'Nchdfd AG']",30.,Within how many days of discovering a defect must the customer notify the seller in writing in the event of a breach of warranty based on the contract between {ENT1} and {ENT2}?
False,9.529576239231119e-09,2.4874555347319563e-09,"[1.9164752007583274e-09, 8.395835138230723e-09, 9.529576239231119e-09, 8.676094239747079e-13, 1.208331958796327e-11, 8.477627190779191e-16, 2.5954186716470318e-11, 1.8851736144354092e-11]",765 Hhzuau Place.,"['Dmimyu GmbH', 'Txctcl AG']",765 Hhzuau Place.,What was the work location based on the contract between {ENT1} and {ENT2}?
False,1.5765391481181723e-07,5.287466157272158e-08,"[1.5765391481181723e-07, 9.229658703979737e-10, 4.7104035949541156e-11]",7.,"['Qpubwe PLC', 'Wnzatj SAS']",7.,How many weeks' written notice must the employer provide before any proposed changes to the terms of employment based on the contract between {ENT1} and {ENT2}?
